Campaign Name,Objective,Day,Age,Gender,Delivery Level,Reach,Impressions,Frequency,Result Type,Results,Results [On Ad],Results [28 Days After Clicking],Cost per Result,Cost per Result [On Ad],Cost per Result [28 Days After Clicking],Amount Spent (USD),"CPM (Cost per 1,000 Impressions)",Link Clicks,Link Clicks [On Ad],CPC (Cost per Link Click),CPC (Cost per Link Click) [On Ad],CTR (Link Click-Through Rate),Clicks (All),CPC (All),CTR (All),Purchases Conversion Value,Purchases Conversion Value [28 Days After Clicking],Cost per Purchase,Cost per Purchase [28 Days After Clicking],Purchases,Purchases [28 Days After Clicking],Purchase ROAS (Return on Ad Spend),Purchase ROAS (Return on Ad Spend) [28 Days After Clicking]
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,65+,female,campaign,276,464,1.68,Website Purchases,4,,1,2.75,,11.02,11.02,23.75,10,10,1.1,1.1,2.16,13,0.85,2.8,486.38,131.85,2.75,11.02,4,1,44.14,11.97
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,45-54,female,campaign,1020,1642,1.61,Website Purchases,18,,12,1.79,,2.69,32.23,19.63,26,26,1.24,1.24,1.58,37,0.87,2.25,1596.88,943.78,1.79,2.69,18,12,49.55,29.29
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,18-24,male,campaign,688,964,1.4,Website Purchases,5,,2,1.89,,4.72,9.44,9.79,1,1,9.44,9.44,0.1,3,3.15,0.31,259.4,93.96,1.89,4.72,5,2,27.48,9.95
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,45-54,male,campaign,160,237,1.48,Website Purchases,1,,1,4.4,,4.4,4.40,18.56,,,,,,1,4.4,0.42,44.27,44.27,4.40,4.4,1,1,10.06,10.06
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,35-44,male,campaign,156,246,1.58,,,,,,,,3.60,14.63,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,55-64,female,campaign,600,950,1.58,Website Purchases,4,,2,5.32,,10.64,21.28,22.4,15,15,1.42,1.42,1.58,22,0.97,2.32,446.3,364.2,5.32,10.64,4,2,20.97,17.12
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,13-17,female,campaign,200,432,2.16,Website Purchases,3,,,1.02,,,3.06,7.08,2,2,1.53,1.53,0.46,3,1.02,0.69,273.1,0,1.02,0,3,0,89.26,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,25-34,male,campaign,584,868,1.49,Website Purchases,2,,,4.77,,,9.55,11,10,10,0.95,0.95,1.15,15,0.64,1.73,143.16,0,4.77,0,2,0,14.99,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,65+,male,campaign,76,125,1.64,,,,,,,,2.55,20.4,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,13-17,male,campaign,52,92,1.77,,,,,,,,0.40,4.35,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,25-34,female,campaign,7099,12083,1.7,Website Purchases,78,,31,2.02,,5.09,157.82,13.06,78,78,2.02,2.02,0.65,127,1.24,1.05,4573.98,1832.54,2.02,5.09,78,31,28.98,11.61
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,35-44,female,campaign,1916,3174,1.66,Website Purchases,24,,5,2.01,,9.66,48.31,15.22,19,19,2.54,2.54,0.6,32,1.51,1.01,1606.7,414.24,2.01,9.66,24,5,33.26,8.58
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,55-64,male,campaign,128,166,1.3,Website Purchases,5,,4,0.62,,0.77,3.08,18.55,3,3,1.03,1.03,1.81,4,0.77,2.41,496.48,325.63,0.62,0.77,5,4,161.21,105.73
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-14,18-24,female,campaign,7335,12139,1.65,Website Purchases,45,,6,2.96,,22.2,133.22,10.97,55,55,2.42,2.42,0.45,96,1.39,0.79,2731.18,559.15,2.96,22.2,45,6,20.5,4.2
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,45-54,female,campaign,872,1389,1.59,Website Purchases,12,,6,2.71,,5.42,32.53,23.42,25,25,1.3,1.3,1.8,29,1.12,2.09,723.49,313.7,2.71,5.42,12,6,22.24,9.64
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,13-17,male,campaign,48,61,1.27,,,,,,,,0.51,8.36,1,1,0.51,0.51,1.64,1,0.51,1.64,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,25-34,male,campaign,1180,1517,1.29,Website Purchases,4,,,5.62,,,22.50,14.83,7,7,3.21,3.21,0.46,12,1.87,0.79,533.99,0,5.62,0,4,0,23.73,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,35-44,female,campaign,1884,2760,1.46,Website Purchases,21,,2,2.21,,23.19,46.39,16.81,24,24,1.93,1.93,0.87,33,1.41,1.2,1425.79,120,2.21,23.19,21,2,30.74,2.59
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,18-24,female,campaign,6576,9985,1.52,Website Purchases,60,,13,2.02,,9.31,121.06,12.12,48,48,2.52,2.52,0.48,77,1.57,0.77,3603.82,918.96,2.02,9.31,60,13,29.77,7.59
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,25-34,female,campaign,6608,10419,1.58,Website Purchases,55,,14,2.83,,11.1,155.42,14.92,43,43,3.61,3.61,0.41,82,1.9,0.79,3308.28,621.82,2.83,11.1,55,14,21.29,4
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,18-24,male,campaign,1020,1351,1.32,Website Purchases,7,,,2.5,,,17.52,12.97,9,9,1.95,1.95,0.67,15,1.17,1.11,334.93,0,2.50,0,7,0,19.12,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,65+,male,campaign,96,147,1.53,,,,,,,,4.89,33.26,5,5,0.98,0.98,3.4,5,0.98,3.4,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,55-64,male,campaign,208,264,1.27,,,,,,,,7.16,27.12,5,5,1.43,1.43,1.89,5,1.43,1.89,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,13-17,female,campaign,156,334,2.14,Website Purchases,1,,,2.15,,,2.15,6.44,1,1,2.15,2.15,0.3,1,2.15,0.3,57.9,0,2.15,0,1,0,26.93,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,45-54,male,campaign,260,351,1.35,Website Purchases,1,,,8.35,,,8.35,23.79,2,2,4.17,4.17,0.57,2,4.17,0.57,41.9,0,8.35,0,1,0,5.02,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,65+,female,campaign,260,396,1.52,Website Purchases,4,,2,2.66,,5.32,10.65,26.89,17,17,0.63,0.63,4.29,20,0.53,5.05,252.65,174.85,2.66,5.32,4,2,23.73,16.42
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,35-44,male,campaign,372,546,1.47,Website Purchases,1,,,9.9,,,9.90,18.13,6,6,1.65,1.65,1.1,8,1.24,1.47,98.87,0,9.90,0,1,0,9.99,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-13,55-64,female,campaign,600,792,1.32,Website Purchases,4,,,5.66,,,22.63,28.57,9,9,2.51,2.51,1.14,13,1.74,1.64,427.97,0,5.66,0,4,0,18.91,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,65+,female,campaign,240,396,1.65,,,,,,,,10.03,25.32,12,12,0.84,0.84,3.03,9,1.11,2.27,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,13-17,female,campaign,228,478,2.1,Website Purchases,2,,,1.35,,,2.71,5.67,2,2,1.35,1.35,0.42,6,0.45,1.26,66.22,0,1.35,0,2,0,24.44,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,55-64,female,campaign,432,706,1.63,Website Purchases,3,,,5.61,,,16.84,23.85,14,14,1.2,1.2,1.98,19,0.89,2.69,207.17,0,5.61,0,3,0,12.31,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,45-54,female,campaign,860,1388,1.61,Website Purchases,5,,1,5.1,,25.51,25.51,18.38,15,15,1.7,1.7,1.08,22,1.16,1.59,336.28,59.65,5.10,25.51,5,1,13.18,2.34
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,18-24,male,campaign,1016,1436,1.41,Website Purchases,10,,,1.18,,,11.78,8.2,,,,,,3,3.93,0.21,701.62,0,1.18,0,10,0,59.58,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,55-64,male,campaign,132,184,1.39,,,,,,,,3.35,18.2,6,6,0.56,0.56,3.26,8,0.42,4.35,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,35-44,female,campaign,1864,2905,1.56,Website Purchases,12,,3,3.51,,14.04,42.12,14.5,14,14,3.01,3.01,0.48,19,2.22,0.65,857.07,91.32,3.51,14.04,12,3,20.35,2.17
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,25-34,female,campaign,7331,12000,1.64,Website Purchases,67,,18,2.26,,8.4,151.25,12.6,69,69,2.19,2.19,0.58,113,1.34,0.94,3605.01,1266.02,2.26,8.4,67,18,23.83,8.37
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,18-24,female,campaign,7631,12385,1.62,Website Purchases,55,,13,2.34,,9.88,128.46,10.37,61,61,2.11,2.11,0.49,90,1.43,0.73,3189.82,756.64,2.34,9.88,55,13,24.83,5.89
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,45-54,male,campaign,176,286,1.63,,,,,,,,4.14,14.47,2,2,2.07,2.07,0.7,2,2.07,0.7,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,25-34,male,campaign,1004,1327,1.32,Website Purchases,5,,,2.61,,,13.05,9.83,3,3,4.35,4.35,0.23,8,1.63,0.6,321.46,0,2.61,0,5,0,24.64,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,35-44,male,campaign,292,389,1.33,Website Purchases,2,,1,2.2,,4.4,4.40,11.31,1,1,4.4,4.4,0.26,4,1.1,1.03,117.3,91.9,2.20,4.4,2,1,26.67,20.89
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,13-17,male,campaign,76,132,1.74,Website Purchases,1,,,0.69,,,0.69,5.23,1,1,0.69,0.69,0.76,2,0.34,1.52,161.25,0,0.69,0,1,0,233.76,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-12,65+,male,campaign,68,96,1.41,,,,,,,,1.71,17.81,2,2,0.85,0.85,2.08,2,0.85,2.08,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,45-54,female,campaign,516,916,1.78,Website Purchases,5,,1,3.65,,18.26,18.26,19.93,8,8,2.28,2.28,0.87,14,1.3,1.53,318.8,37.15,3.65,18.26,5,1,17.46,2.03
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,18-24,female,campaign,5700,8413,1.48,Website Purchases,47,,12,1.75,,6.86,82.32,9.79,27,27,3.05,3.05,0.32,52,1.58,0.62,2616.89,400.13,1.75,6.86,47,12,31.79,4.86
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,25-34,female,campaign,5116,7845,1.53,Website Purchases,35,,9,2.87,,11.16,100.40,12.8,45,45,2.23,2.23,0.57,75,1.34,0.96,1879.62,596.37,2.87,11.16,35,9,18.72,5.94
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,35-44,female,campaign,1300,1870,1.44,Website Purchases,10,,,2.91,,,29.11,15.57,6,6,4.85,4.85,0.32,8,3.64,0.43,683.06,0,2.91,0,10,0,23.47,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,18-24,male,campaign,896,1122,1.25,Website Purchases,7,,1,1.35,,9.45,9.45,8.42,6,6,1.57,1.57,0.53,8,1.18,0.71,418.96,31.9,1.35,9.45,7,1,44.34,3.38
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,25-34,male,campaign,836,942,1.13,Website Purchases,6,,,1.39,,,8.35,8.86,3,3,2.78,2.78,0.32,3,2.78,0.32,545.2,0,1.39,0,6,0,65.3,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,35-44,male,campaign,136,259,1.9,Website Purchases,6,,1,0.46,,2.75,2.75,10.62,1,1,2.75,2.75,0.39,1,2.75,0.39,302.08,75.43,0.46,2.75,6,1,109.86,27.43
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,55-64,female,campaign,292,483,1.65,Website Purchases,3,,3,4,,4,12.00,24.84,13,13,0.92,0.92,2.69,14,0.86,2.9,108.94,108.94,4.00,4,3,3,9.08,9.08
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,13-17,female,campaign,208,395,1.9,Website Purchases,5,,2,0.46,,1.14,2.29,5.8,1,1,2.29,2.29,0.25,3,0.76,0.76,213.78,14.4,0.46,1.14,5,2,93.36,6.29
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,65+,male,campaign,44,61,1.39,,,,,,,,0.75,12.29,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,65+,female,campaign,144,236,1.64,,,,,,,,5.19,21.99,5,5,1.04,1.04,2.12,8,0.65,3.39,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,55-64,male,campaign,88,126,1.43,,,,,,,,1.66,13.17,1,1,1.66,1.66,0.79,1,1.66,0.79,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,13-17,male,campaign,72,99,1.38,,,,,,,,0.40,4.04,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-11,45-54,male,campaign,72,155,2.15,Website Purchases,1,,1,2.78,,2.78,2.78,17.93,2,2,1.39,1.39,1.29,4,0.69,2.58,60.9,60.9,2.78,2.78,1,1,21.91,21.91
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,45-54,male,campaign,132,194,1.47,Website Purchases,1,,1,3.01,,3.01,3.01,15.51,1,1,3.01,3.01,0.52,1,3.01,0.52,18.9,18.9,3.01,3.01,1,1,6.28,6.28
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,65+,male,campaign,60,79,1.32,,,,,,,,1.18,14.93,,,,,,1,1.18,1.27,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,13-17,male,campaign,52,92,1.77,,,,,,,,0.46,5,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,55-64,male,campaign,124,145,1.17,,,,,,,,2.02,13.93,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,65+,female,campaign,192,298,1.55,Website Purchases,1,,,6.9,,,6.90,23.15,1,1,6.9,6.9,0.34,3,2.3,1.01,34.9,0,6.90,0,1,0,5.06,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,35-44,male,campaign,156,229,1.47,,,,,,,,2.31,10.09,,,,,,1,2.31,0.44,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,13-17,female,campaign,220,423,1.92,Website Purchases,2,,,1.23,,,2.47,5.84,2,2,1.23,1.23,0.47,3,0.82,0.71,163.42,0,1.23,0,2,0,66.17,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,55-64,female,campaign,420,569,1.35,Website Purchases,2,,1,6.93,,13.86,13.86,24.36,7,7,1.98,1.98,1.23,8,1.73,1.41,193.02,111.95,6.93,13.86,2,1,13.93,8.08
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,25-34,male,campaign,556,813,1.46,Website Purchases,6,,,1.1,,,6.62,8.14,5,5,1.32,1.32,0.62,5,1.32,0.62,368.72,0,1.10,0,6,0,55.7,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,18-24,male,campaign,636,911,1.43,Website Purchases,3,,,2.25,,,6.76,7.42,4,4,1.69,1.69,0.44,6,1.13,0.66,351.78,0,2.25,0,3,0,52.05,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,45-54,female,campaign,688,1045,1.52,Website Purchases,4,,,4.88,,,19.52,18.68,7,7,2.79,2.79,0.67,14,1.39,1.34,792.1,0,4.88,0,4,0,40.58,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,35-44,female,campaign,1436,2236,1.56,Website Purchases,11,,2,3.08,,16.94,33.88,15.15,12,12,2.82,2.82,0.54,19,1.78,0.85,799.66,79.75,3.08,16.94,11,2,23.61,2.35
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,18-24,female,campaign,6164,9127,1.48,Website Purchases,33,,3,2.84,,31.26,93.78,10.27,33,33,2.84,2.84,0.36,68,1.38,0.75,1633.04,103.92,2.84,31.26,33,3,17.41,1.11
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-10,25-34,female,campaign,5704,9067,1.59,Website Purchases,36,,12,3.38,,10.13,121.61,13.41,46,46,2.64,2.64,0.51,87,1.4,0.96,2052.23,816.83,3.38,10.13,36,12,16.87,6.72
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,45-54,male,campaign,100,166,1.66,,,,,,,,2.37,14.27,3,3,0.79,0.79,1.81,3,0.79,1.81,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,35-44,male,campaign,156,252,1.62,Website Purchases,2,,,1.34,,,2.68,10.63,3,3,0.89,0.89,1.19,3,0.89,1.19,131.26,0,1.34,0,2,0,49,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,65+,female,campaign,172,313,1.82,Website Purchases,1,,1,7.73,,7.73,7.73,24.69,5,5,1.55,1.55,1.6,11,0.7,3.51,124.95,124.95,7.73,7.73,1,1,16.17,16.17
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,13-17,male,campaign,68,110,1.62,,,,,,,,0.65,5.91,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,55-64,male,campaign,92,134,1.46,Website Purchases,1,,1,2.42,,2.42,2.42,18.05,4,4,0.6,0.6,2.99,5,0.48,3.73,100.6,100.6,2.42,2.42,1,1,41.59,41.59
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,65+,male,campaign,52,87,1.67,Website Purchases,3,,2,0.57,,0.86,1.72,19.76,3,3,0.57,0.57,3.45,4,0.43,4.6,317.53,211.68,0.57,0.86,3,2,184.69,123.12
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,25-34,male,campaign,540,777,1.44,Website Purchases,5,,2,1.31,,3.28,6.57,8.45,4,4,1.64,1.64,0.51,5,1.31,0.64,261.52,160.31,1.31,3.28,5,2,39.82,24.41
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,13-17,female,campaign,244,437,1.79,Website Purchases,1,,,2.69,,,2.69,6.15,2,2,1.34,1.34,0.46,4,0.67,0.92,66.3,0,2.69,0,1,0,24.66,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,55-64,female,campaign,436,640,1.47,Website Purchases,2,,,8.07,,,16.13,25.21,12,12,1.34,1.34,1.88,15,1.08,2.34,225.64,0,8.07,0,2,0,13.99,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,18-24,male,campaign,752,880,1.17,Website Purchases,4,,1,1.81,,7.24,7.24,8.22,1,1,7.24,7.24,0.11,5,1.45,0.57,236.38,118.4,1.81,7.24,4,1,32.66,16.36
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,45-54,female,campaign,804,1210,1.5,Website Purchases,9,,3,2.84,,8.53,25.60,21.16,9,9,2.84,2.84,0.74,15,1.71,1.24,764.19,174.12,2.84,8.53,9,3,29.85,6.8
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,35-44,female,campaign,1604,2434,1.52,Website Purchases,18,,2,2.13,,19.14,38.27,15.72,13,13,2.94,2.94,0.53,24,1.59,0.99,1010.14,37.02,2.13,19.14,18,2,26.39,0.97
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,18-24,female,campaign,6427,9660,1.5,Website Purchases,60,,13,1.82,,8.42,109.46,11.33,42,42,2.61,2.61,0.43,65,1.68,0.67,3312,1093.49,1.82,8.42,60,13,30.26,9.99
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-09,25-34,female,campaign,5051,7588,1.5,Website Purchases,40,,12,2.44,,8.13,97.58,12.86,41,41,2.38,2.38,0.54,84,1.16,1.11,2425.57,645.94,2.44,8.13,40,12,24.86,6.62
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,13-17,female,campaign,188,324,1.72,Website Purchases,3,,2,0.67,,1,2.01,6.2,2,2,1,1,0.62,2,1,0.62,192.89,110.94,0.67,1,3,2,95.98,55.2
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,35-44,female,campaign,1432,2218,1.55,Website Purchases,12,,4,2.93,,8.8,35.21,15.87,13,13,2.71,2.71,0.59,23,1.53,1.04,1243.45,402.19,2.93,8.8,12,4,35.32,11.42
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,25-34,female,campaign,4628,7334,1.58,Website Purchases,36,,12,2.61,,7.82,93.90,12.8,34,34,2.76,2.76,0.46,75,1.25,1.02,2002.94,702.08,2.61,7.82,36,12,21.33,7.48
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,18-24,female,campaign,5644,8712,1.54,Website Purchases,41,,14,2.37,,6.93,97.06,11.14,42,42,2.31,2.31,0.48,81,1.2,0.93,2105.92,709.31,2.37,6.93,41,14,21.7,7.31
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,25-34,male,campaign,708,1000,1.41,Website Purchases,9,,2,0.91,,4.07,8.15,8.15,5,5,1.63,1.63,0.5,6,1.36,0.6,434.02,62.82,0.91,4.07,9,2,53.26,7.71
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,55-64,female,campaign,324,513,1.58,Website Purchases,7,,5,1.74,,2.43,12.15,23.68,6,6,2.02,2.02,1.17,10,1.21,1.95,669.58,370.84,1.74,2.43,7,5,55.12,30.53
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,65+,female,campaign,140,258,1.84,Website Purchases,1,,,5.79,,,5.79,22.44,5,5,1.16,1.16,1.94,5,1.16,1.94,78.91,0,5.79,0,1,0,13.63,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,45-54,female,campaign,616,1011,1.64,Website Purchases,10,,4,1.96,,4.9,19.59,19.37,23,23,0.85,0.85,2.27,27,0.73,2.67,792.42,211.03,1.96,4.9,10,4,40.46,10.77
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,35-44,male,campaign,140,257,1.84,Website Purchases,1,,,2.82,,,2.82,10.97,,,,,,3,0.94,1.17,75.76,0,2.82,0,1,0,26.87,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,45-54,male,campaign,128,252,1.97,Website Purchases,1,,,3.53,,,3.53,14.01,1,1,3.53,3.53,0.4,3,1.18,1.19,176.14,0,3.53,0,1,0,49.9,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,55-64,male,campaign,148,153,1.03,Website Purchases,2,,,1.3,,,2.61,17.06,2,2,1.3,1.3,1.31,2,1.3,1.31,135.42,0,1.30,0,2,0,51.89,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,13-17,male,campaign,64,105,1.64,,,,,,,,0.53,5.05,,,,,,1,0.53,0.95,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,65+,male,campaign,87,87,1,Website Purchases,1,,,1.91,,,1.91,21.95,1,1,1.91,1.91,1.15,3,0.64,3.45,49.4,0,1.91,0,1,0,25.87,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-08,18-24,male,campaign,792,1024,1.29,Website Purchases,10,,2,0.78,,3.92,7.85,7.66,2,2,3.92,3.92,0.2,4,1.96,0.39,750.59,171.96,0.78,3.92,10,2,95.63,21.91
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,18-24,female,campaign,6184,9318,1.51,Website Purchases,53,,19,1.78,,4.97,94.50,10.14,42,42,2.25,2.25,0.45,82,1.15,0.88,2679.19,1234.4,1.78,4.97,53,19,28.35,13.06
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,25-34,female,campaign,5660,9074,1.6,Website Purchases,72,,24,1.58,,4.75,114.09,12.57,56,56,2.04,2.04,0.62,105,1.09,1.16,4546.96,1370.28,1.58,4.75,72,24,39.85,12.01
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,65+,male,campaign,64,84,1.31,,,,,,,,1.32,15.71,2,2,0.66,0.66,2.38,2,0.66,2.38,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,13-17,male,campaign,68,110,1.62,,,,,,,,0.45,4.09,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,55-64,male,campaign,120,129,1.08,,,,,,,,2.28,17.67,,,,,,0,,0,,,,,,,,
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,45-54,male,campaign,148,226,1.53,Website Purchases,6,,,0.57,,,3.41,15.09,1,1,3.41,3.41,0.44,1,3.41,0.44,274.64,0,0.57,0,6,0,80.54,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,35-44,male,campaign,180,294,1.63,Website Purchases,2,,,1.53,,,3.06,10.41,,,,,,0,,0,95.63,0,1.53,0,2,0,31.25,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,65+,female,campaign,220,325,1.48,Website Purchases,5,,2,1.65,,4.13,8.27,25.44,6,6,1.38,1.38,1.85,9,0.92,2.77,553.94,448.46,1.65,4.13,5,2,66.99,54.23
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,13-17,female,campaign,256,434,1.7,Website Purchases,1,,,2.9,,,2.90,6.68,1,1,2.9,2.9,0.23,1,2.9,0.23,56.71,0,2.90,0,1,0,19.56,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,55-64,female,campaign,344,540,1.57,Website Purchases,2,,,6.86,,,13.72,25.41,7,7,1.96,1.96,1.3,11,1.25,2.04,135.36,0,6.86,0,2,0,9.87,0
CWJWT_US_DR_2018_Retargeting,CONVERSIONS,2018-03-07,25-34,male,campaign,844,1099,1.3,Website Purchases,6,,1,1.54,,9.27,9.27,8.43,3,3,3.09,3.09,0.27,6,1.54,0.55,386.17,66.95,1.54,9.27,6,1,41.66,7.22
